municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
CAMPO LARGO;410420402A;PR;Vila Andreas;-25,44889;-49,55519;2025-03-03 07:00:00.0;0,00
CAMPO LARGO;410420402A;PR;Vila Andreas;-25,44889;-49,55519;2025-03-03 08:00:00.0;0,00
CAMPO LARGO;410420402A;PR;Vila Andreas;-25,44889;-49,55519;2025-03-03 09:00:00.0;0,00
CAMPO LARGO;410420402A;PR;Vila Andreas;-25,44889;-49,55519;2025-03-03 10:00:00.0;0,00
CAMPO LARGO;410420402A;PR;Vila Andreas;-25,44889;-49,55519;2025-03-03 11:00:00.0;0,00
CAMPO LARGO;410420402A;PR;Vila Andreas;-25,44889;-49,55519;2025-03-03 12:00:00.0;0,00
CAMPO LARGO;410420402A;PR;Vila Andreas;-25,44889;-49,55519;2025-03-03 13:00:00.0;0,00
